,year,n_citation
33,1820.0,0.0
47,1833.0,0.0
124,1837.0,0.0
129,1848.0,0.0
46,1849.0,3.0
111,1851.0,0.0
116,1852.0,0.0
27,1862.0,0.0
108,1865.0,0.0
44,1867.0,0.0
6,1869.0,0.0
38,1870.0,0.0
112,1872.0,0.0
93,1874.0,0.0
99,1875.0,0.0
76,1876.0,0.0
105,1877.0,0.0
73,1878.0,0.0
143,1879.0,0.0
36,1882.0,0.0
119,1884.0,0.0
109,1885.0,0.0
91,1886.0,0.0
80,1887.0,0.0
126,1891.0,0.0
5,1892.0,0.0
19,1894.0,0.0
147,1895.0,114.0
83,1896.0,0.0
92,1897.0,0.0
11,1898.0,18.0
23,1899.0,18.0
4,1900.0,10.0
40,1901.0,2.0
82,1902.0,15.0
24,1903.0,8.0
55,1904.0,0.0
100,1905.0,70.0
31,1906.0,10.0
149,1907.0,10.0
144,1908.0,11.0
78,1909.0,56.0
28,1910.0,17.0
17,1911.0,1.0
69,1912.0,9.0
71,1913.0,22.0
141,1914.0,43.0
89,1915.0,21.0
0,1916.0,11.0
103,1917.0,0.0
59,1918.0,322.0
43,1919.0,47.0
107,1920.0,79.0
8,1921.0,273.0
58,1922.0,164.0
102,1923.0,166.0
98,1924.0,206.0
9,1925.0,130.0
127,1926.0,215.0
1,1927.0,224.0
13,1928.0,345.0
25,1929.0,176.0
70,1930.0,313.0
101,1931.0,392.0
145,1932.0,377.0
12,1933.0,344.0
18,1934.0,682.0
52,1935.0,1271.0
15,1936.0,1329.0
62,1937.0,1335.0
35,1938.0,1481.0
148,1939.0,1768.0
10,1940.0,1831.0
104,1941.0,2204.0
74,1942.0,2653.0
133,1943.0,1444.0
125,1944.0,1473.0
39,1945.0,1609.0
110,1946.0,1951.0
96,1947.0,1731.0
120,1948.0,1387.0
48,1949.0,2942.0
87,1950.0,1507.0
94,1951.0,1647.0
95,1952.0,1488.0
32,1953.0,1262.0
26,1954.0,1171.0
64,1955.0,1507.0
85,1956.0,2107.0
61,1957.0,1622.0
50,1958.0,2730.0
22,1959.0,2892.0
139,1960.0,2604.0
134,1961.0,2916.0
151,1962.0,2855.0
128,1963.0,2952.0
130,1964.0,3277.0
7,1965.0,4411.0
106,1966.0,3577.0
150,1967.0,5140.0
146,1968.0,5087.0
86,1969.0,6374.0
132,1970.0,7283.0
90,1971.0,10817.0
142,1972.0,11233.0
16,1973.0,16060.0
140,1974.0,12601.0
84,1975.0,12323.0
66,1976.0,12795.0
68,1977.0,12712.0
113,1978.0,13273.0
121,1979.0,11654.0
51,1980.0,12477.0
37,1981.0,12002.0
41,1982.0,12055.0
63,1983.0,12269.0
75,1984.0,12711.0
118,1985.0,13969.0
122,1986.0,14117.0
54,1987.0,16838.0
115,1988.0,16847.0
60,1989.0,19649.0
136,1990.0,20049.0
3,1991.0,20672.0
137,1992.0,20649.0
49,1993.0,22127.0
30,1994.0,21836.0
67,1995.0,23356.0
2,1996.0,24629.0
117,1997.0,24186.0
131,1998.0,23584.0
45,1999.0,25369.0
21,2000.0,21800.0
29,2001.0,22176.0
114,2002.0,25537.0
135,2003.0,19325.0
79,2004.0,17199.0
42,2005.0,18075.0
88,2006.0,16762.0
20,2007.0,16552.0
72,2008.0,15414.0
77,2009.0,18258.0
123,2010.0,20059.0
81,2011.0,27723.0
97,2012.0,28089.0
57,2013.0,23710.0
65,2014.0,15439.0
53,2015.0,14644.0
56,2016.0,3736.0
138,2017.0,945.0
14,2018.0,157.0
34,2019.0,0.0
