,year,n_citation
138,1800.0,0.0
30,1808.0,0.0
64,1820.0,0.0
6,1824.0,0.0
174,1832.0,0.0
93,1833.0,0.0
78,1835.0,0.0
84,1837.0,2.0
167,1839.0,1.0
73,1840.0,0.0
74,1841.0,0.0
147,1842.0,0.0
104,1843.0,0.0
21,1846.0,0.0
127,1848.0,0.0
52,1849.0,3.0
129,1851.0,0.0
135,1852.0,0.0
159,1853.0,0.0
25,1859.0,0.0
34,1860.0,266.0
92,1862.0,0.0
63,1864.0,0.0
106,1865.0,0.0
112,1866.0,1.0
169,1867.0,0.0
56,1869.0,0.0
117,1870.0,0.0
175,1871.0,3.0
62,1872.0,0.0
14,1873.0,0.0
16,1874.0,0.0
136,1875.0,0.0
71,1876.0,2.0
153,1877.0,0.0
65,1878.0,0.0
27,1879.0,0.0
2,1880.0,0.0
17,1881.0,4.0
124,1882.0,198.0
41,1883.0,2.0
157,1884.0,4.0
11,1885.0,0.0
53,1886.0,6.0
173,1887.0,0.0
15,1888.0,0.0
133,1889.0,27.0
158,1890.0,0.0
150,1891.0,0.0
49,1892.0,0.0
142,1893.0,9.0
60,1894.0,1.0
108,1895.0,114.0
81,1896.0,1.0
43,1897.0,0.0
70,1898.0,23.0
122,1899.0,137.0
46,1900.0,278.0
68,1901.0,22.0
101,1902.0,19.0
97,1903.0,45.0
20,1904.0,4.0
9,1905.0,106.0
45,1906.0,20.0
176,1907.0,17.0
36,1908.0,64.0
144,1909.0,146.0
172,1910.0,44.0
82,1911.0,34.0
59,1912.0,45.0
99,1913.0,27.0
24,1914.0,50.0
79,1915.0,23.0
69,1916.0,17.0
103,1917.0,56.0
28,1918.0,361.0
155,1919.0,83.0
0,1920.0,137.0
87,1921.0,363.0
95,1922.0,220.0
96,1923.0,295.0
26,1924.0,411.0
23,1925.0,224.0
33,1926.0,660.0
7,1927.0,334.0
137,1928.0,537.0
156,1929.0,322.0
102,1930.0,425.0
161,1931.0,582.0
149,1932.0,601.0
170,1933.0,509.0
19,1934.0,1520.0
123,1935.0,1934.0
58,1936.0,2320.0
140,1937.0,1996.0
5,1938.0,2430.0
72,1939.0,2528.0
10,1940.0,2548.0
151,1941.0,3017.0
114,1942.0,3236.0
67,1943.0,2221.0
32,1944.0,2431.0
110,1945.0,2616.0
4,1946.0,2899.0
163,1947.0,2400.0
55,1948.0,3487.0
160,1949.0,3834.0
116,1950.0,3025.0
148,1951.0,2428.0
44,1952.0,2532.0
22,1953.0,2131.0
85,1954.0,2443.0
90,1955.0,2230.0
120,1956.0,3347.0
145,1957.0,2500.0
113,1958.0,4505.0
61,1959.0,4388.0
47,1960.0,3790.0
77,1961.0,3791.0
109,1962.0,5453.0
8,1963.0,5353.0
12,1964.0,4930.0
132,1965.0,7479.0
91,1966.0,6181.0
31,1967.0,9159.0
42,1968.0,10486.0
86,1969.0,14983.0
168,1970.0,15012.0
141,1971.0,22587.0
111,1972.0,26049.0
54,1973.0,28896.0
40,1974.0,27442.0
166,1975.0,28868.0
146,1976.0,27850.0
1,1977.0,26665.0
75,1978.0,33952.0
35,1979.0,24905.0
37,1980.0,27694.0
18,1981.0,31348.0
80,1982.0,27847.0
94,1983.0,30668.0
152,1984.0,31363.0
134,1985.0,47035.0
130,1986.0,40157.0
162,1987.0,41175.0
119,1988.0,43031.0
164,1989.0,47836.0
171,1990.0,50414.0
13,1991.0,53653.0
165,1992.0,69982.0
139,1993.0,64561.0
57,1994.0,60095.0
121,1995.0,62260.0
118,1996.0,63569.0
100,1997.0,65281.0
51,1998.0,69254.0
88,1999.0,71114.0
107,2000.0,68812.0
76,2001.0,79395.0
29,2002.0,78574.0
98,2003.0,70351.0
39,2004.0,69455.0
89,2005.0,58631.0
48,2006.0,51327.0
143,2007.0,55116.0
154,2008.0,43804.0
131,2009.0,48107.0
105,2010.0,46080.0
115,2011.0,50868.0
126,2012.0,50741.0
128,2013.0,42984.0
83,2014.0,30289.0
38,2015.0,54081.0
125,2016.0,14544.0
66,2017.0,4082.0
3,2018.0,537.0
50,2019.0,26.0
